Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2022;71.659.281
01 Andalucía;Dato base;2022;10.009.890
02 Aragón;Dato base;2022;385.175
03 Asturias, Principado de;Dato base;2022;277.267
04 Balears, Illes;Dato base;2022;13.203.885
05 Canarias;Dato base;2022;12.328.012
06 Cantabria;Dato base;2022;323.694
07 Castilla y León;Dato base;2022;1.016.508
08 Castilla - La Mancha;Dato base;2022;200.063
09 Cataluña;Dato base;2022;14.852.042
10 Comunitat Valenciana;Dato base;2022;8.616.445
11 Extremadura;Dato base;2022;319.504
12 Galicia;Dato base;2022;1.271.894
13 Madrid, Comunidad de;Dato base;2022;6.048.182
14 Murcia, Región de;Dato base;2022;821.232
15 Navarra, Comunidad Foral de;Dato base;2022;273.406
16 País Vasco;Dato base;2022;1.545.013
17 Rioja, La;Dato base;2022;105.910
18 Ceuta;Dato base;2022;35.937
19 Melilla;Dato base;2022;25.224
